technique,step,train_loss,val_loss
Random (baseline),0,3.898581,3.907075
Random (baseline),150,2.431082,2.410538
Random (baseline),300,2.217581,2.231820
Random (baseline),450,2.101972,2.120373
Random (baseline),600,2.018164,2.057862
Random (baseline),750,1.956289,2.029557
Random (baseline),900,1.910690,1.972379
Random (baseline),1050,1.848834,1.937009
Random (baseline),1200,1.816690,1.911412
Random (baseline),1350,1.783093,1.897561
Random (baseline),1500,1.762517,1.881717
Random (baseline),1650,1.740631,1.870701
Random (baseline),1800,1.724108,1.849465
Random (baseline),1950,1.696887,1.840866
Random (baseline),2100,1.672039,1.826030
Random (baseline),2250,1.679696,1.806107
Random (baseline),2400,1.631714,1.807536
Random (baseline),2550,1.637274,1.787153
Random (baseline),2700,1.615509,1.795254
Random (baseline),2850,1.613217,1.783711
Random (baseline),3000,1.599320,1.779203
Random (baseline),3150,1.587036,1.760298
Random (baseline),3300,1.589997,1.751353
Random (baseline),3450,1.566947,1.770141
Random (baseline),3600,1.558773,1.726256
Random (baseline),3750,1.542318,1.762286
Random (baseline),3900,1.535263,1.715338
Random (baseline),4050,1.532330,1.716988
Random (baseline),4200,1.522348,1.701193
Random (baseline),4350,1.528351,1.712070
Random (baseline),4500,1.523257,1.704659
Random (baseline),4650,1.503646,1.698928
Random (baseline),4800,1.510887,1.687143
Random (baseline),4950,1.504454,1.707965
Random (baseline),5100,1.505243,1.697900
Random (baseline),5250,1.476398,1.694435
Random (baseline),5400,1.478080,1.651315
Random (baseline),5550,1.476446,1.670530
Random (baseline),5700,1.464041,1.659470
Random (baseline),5850,1.466630,1.660143
Random (baseline),6000,1.466721,1.660328
Random (baseline),6150,1.453444,1.666953
Random (baseline),6300,1.445127,1.650064
Random (baseline),6450,1.440092,1.673145
Random (baseline),6600,1.423029,1.632040
Random (baseline),6750,1.420820,1.627115
Random (baseline),6900,1.447200,1.638886
Random (baseline),7050,1.431657,1.641061
Random (baseline),7200,1.413993,1.648098
Random (baseline),7350,1.427131,1.653342
Random (baseline),7500,1.429326,1.648899
Random (baseline),7650,1.435571,1.610346
Random (baseline),7800,1.410659,1.612392
Random (baseline),7950,1.422790,1.654248
Random (baseline),8100,1.405176,1.614569
Random (baseline),8250,1.421151,1.624629
Random (baseline),8400,1.421455,1.621009
Random (baseline),8550,1.418476,1.592565
Random (baseline),8700,1.400562,1.639106
Random (baseline),8850,1.414398,1.595053
Random (baseline),9000,1.399169,1.606358
Random (baseline),9150,1.382959,1.603406
Random (baseline),9300,1.414728,1.644265
Random (baseline),9450,1.379939,1.605006
Random (baseline),9600,1.387906,1.623344
Random (baseline),9750,1.391414,1.582739
Random (baseline),9900,1.392377,1.585924
Random (baseline),10050,1.388432,1.607666
Random (baseline),10200,1.369956,1.594605
Random (baseline),10350,1.373084,1.601748
Random (baseline),10500,1.385165,1.602390
Random (baseline),10650,1.384128,1.600281
Random (baseline),10800,1.365371,1.591686
Random (baseline),10950,1.355234,1.602852
Random (baseline),11100,1.376967,1.577836
Random (baseline),11250,1.381143,1.601191
Random (baseline),11400,1.370507,1.583970
Random (baseline),11550,1.374607,1.573628
Random (baseline),11700,1.351076,1.619468
Random (baseline),11850,1.392910,1.593369
Random (baseline),12000,1.371951,1.631307
Random (baseline),12150,1.372232,1.591566
Random (baseline),12300,1.374327,1.582955
Random (baseline),12450,1.368936,1.614973
Random (baseline),12600,1.355673,1.591560
Random (baseline),12750,1.377571,1.614705
Random (baseline),12900,1.361504,1.560929
Random (baseline),13050,1.347617,1.590881
Random (baseline),13200,1.340312,1.602695
Random (baseline),13350,1.364178,1.595069
Random (baseline),13500,1.343569,1.581807
Random (baseline),13650,1.358184,1.578285
Random (baseline),13800,1.349869,1.599331
Random (baseline),13950,1.339787,1.574326
Random (baseline),14100,1.340865,1.599478
Random (baseline),14250,1.359440,1.597695
Random (baseline),14400,1.343608,1.590549
Random (baseline),14550,1.349010,1.574699
Random (baseline),14700,1.344067,1.571253
Random (baseline),14850,1.344471,1.593950
Random (baseline),14999,1.356458,1.577045
Shuffle,0,3.898729,3.908234
Shuffle,150,2.416178,2.426219
Shuffle,300,2.220030,2.209312
Shuffle,450,2.101196,2.123548
Shuffle,600,2.012345,2.058087
Shuffle,750,1.934658,2.009010
Shuffle,900,1.919050,1.970302
Shuffle,1050,1.850752,1.947886
Shuffle,1200,1.809873,1.916343
Shuffle,1350,1.779679,1.895287
Shuffle,1500,1.767965,1.872050
Shuffle,1650,1.739465,1.852226
Shuffle,1800,1.722138,1.848386
Shuffle,1950,1.691487,1.823331
Shuffle,2100,1.671920,1.822931
Shuffle,2250,1.667434,1.799119
Shuffle,2400,1.646419,1.807308
Shuffle,2550,1.618800,1.800006
Shuffle,2700,1.610270,1.800122
Shuffle,2850,1.598384,1.773274
Shuffle,3000,1.599967,1.785149
Shuffle,3150,1.566030,1.761715
Shuffle,3300,1.573483,1.761609
Shuffle,3450,1.556552,1.743742
